,code,level,processed_code
9520,"print ' '
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,print % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9558,"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regen
print 'je gooide ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9559,"print ' '
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
print ' '
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
print ' '
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
print ' '
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
print ' '
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,print % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % print % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % print % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % print % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % print % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9560,"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regen
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regen
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regen
print 'je gooide ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % print % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9566,"keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9573,"keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9574,"getal1 is 1,2,3,4,5,6,7,8,9,10
getal2 is 1,2,3,4,5,6,7,8,9,10",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % 
9576,"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regen
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regen
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regen
h is keues at random
print 'je gooide ' h
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % print % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9578,"keuzes is 1,2,3,4,5,6
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,6
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,6
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,6
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,6
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,regenworm
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,6
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp
keuzes is 1,2,3,4,5,6
punten is 0
worp is keuzes at random
print 'je gooide een ' worp
if worp is regenworm punten is punten + 5 else punten is punten + worp",6,% % % % % % is % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % % % % % % % is % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % if % % % % is % % % % % % % % % % % % % % % is % % % % % % +% else % % % % % % is % % % % % % +% % % % 
9583,"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regenworm
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regenworm
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regenworm
h is keuzes at random
print 'je gooide ' h",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % 
9589,"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regenworm
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regenworm
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regenworm
h is keuzes at random
print 'je gooide ' h
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regenworm
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regenworm
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regenworm
h is keuzes at random
print 'je gooide ' h",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % 
9592,"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regenworm
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regenworm
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regenworm
h is keuzes at random
print 'je gooide ' h
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regenworm
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regenworm
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regenworm
h is keuzes at random
print 'je gooide ' h
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regenworm
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regenworm
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regenworm
h is keuzes at random
print 'je gooide ' h",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % 
9596,"keuzes is 1, 2, 3, 4, 5, regenworm
punten is 0
worp is keuzes at random
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regenworm
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regenworm
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regenworm
h is keuzes at random
print 'je gooide ' h
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regenworm
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regenworm
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regenworm
h is keuzes at random
print 'je gooide ' h
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regenworm
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regenworm
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regenworm
h is keuzes at random
print 'je gooide ' h
print 'je gooide ' worp
keuzes is 1, 2, 3, 4, 5, regenworm
gooi is keuzes at random
print 'je gooide ' gooi
keuzes is 1, 2, 3, 4, 5, regenworm
gooien is keuzes at random
print 'je gooide ' gooien 
keuzes is 1, 2, 3, 4, 5, regenworm
h is keuzes at random
print 'je gooide ' h",6,% % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % % % % % % % is % % % % % % % % % % % % % % print % % % % % % % % % % % 
